"   ","ASSETID","SHOPID","ACCID","EQUIPMENTNO","ASSETSNAME","ASSETSTYPEID","CHANGETYPEID","UNITNAME","INITQTY","CURRQTY","PRICE","RAWVALUE","SPECS","ADDRESS","USESTATUS","CHARGEMAN","INDATE","OPID","OPDATE","INITFLAG","DEPID","MEMO","RENT_NUM","CHANGEAMOUNT","IMAGES","ASSETID","ASSETCODE","ASSETNAME","PARENTID","UNITNAME","ISUSED","MEMO","ISDETAIL"
"61","15338","8142","1","20110124012","书柜","11","1","个","6.000000","6.000000","200.000000","1200.000000","","村委","1","村委","2009-10-24","191","2012-11-02","T","","2009年三资清查入帐","0","1200","","11","010202","办公家具","3","套","T","办公家具",""
"62","15337","8142","1","20110124005","柜","11","1","个","2.000000","2.000000","300.000000","600.000000","","村委","1","村委","2009-10-24","191","2012-11-02","T","","2009年三资清查入帐","0","600","","11","010202","办公家具","3","套","T","办公家具",""
"63","15123","8142","1","20110124004","凳子","11","1","个","3.000000","3.000000","100.000000","300.000000","","村委","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐","0","300","","11","010202","办公家具","3","套","T","办公家具",""
"64","15241","8142","1","20110124003","办公桌","11","1","张","25.000000","25.000000","32.000000","800.000000","","村委","1","村委","2009-10-24","191","2012-11-02","T","","2009年三资清查入帐","0","800","","11","010202","办公家具","3","套","T","办公家具",""
"65","15748","8142","1","20110124019","椅子","11","1","把","32.000000","32.000000","60.000000","1920.000000","","村委","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐","0","1920","","11","010202","办公家具","3","套","T","办公家具",""
"66","15745","8142","1","20110124008","药具柜","11","1","个","1.000000","1.000000","300.000000","300.000000","","村委","1","村委","2009-10-24","191","2012-11-02","T","","2009年三资清查入帐","0","300","","11","010202","办公家具","3","套","T","办公家具",""
"67","15744","8142","1","20110124006","计生课桌","11","1","张","16.000000","16.000000","200.000000","3200.000000","","村委","1","村委","2009-10-24","191","2012-11-02","T","","2009年三资清查入帐","0","3200","","11","010202","办公家具","3","套","T","办公家具",""
"68","15936","8142","1","20110124016","床","11","1","张","3.000000","3.000000","50.000000","150.000000","","村委","1","村委","2009-10-24","191","2012-11-02","T","","2009年三资清查入帐","0","150","","11","010202","办公家具","3","套","T","办公家具",""
"69","15124","8142","1","20110124015","钗","12","1","个","8.000000","8.000000","187.000000","1500.000000","","村委","1","村委","2009-10-24","191","2012-11-02","T","","2009年三资清查入帐","0","1500","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"70","15747","8142","1","20110124017","鼓","12","1","个","2.000000","2.000000","200.000000","400.000000","","村委","1","村委","2009-10-24","191","2012-11-02","T","","2009年三资清查入帐","0","400","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
